Agency,Budget year,est_completion,est_expenditure,est_rem,Fixed notes,Project,Project type,Sector,TEI
Department of Transport and Planning,2018,qtr 4 2021-22,14000000,121000000,TEI includes $46.000 million of Commonwealth funding and excludes contribution from New South Wales.,Echuca-Moama bridge (Echuca),Existing,Transport,135000000
Department of Transport and Planning,2018,qtr 2 2022-23,14000000,361000000,TEI includes a further $75.000 million for additional scope approved in the 2018-19 Budget.,Mordialloc Freeway (Braeside),Existing,Transport,375000000
Department of Transport and Planning,2018,qtr 4 2026-27,21000000,123000000,"TEI has increased by $104.000 million due to approval of additional funding to progress procurement and planning approvals, offset by a $60.235 million decrease due to certain expenditure being recognised as operating instead of capital in line with accounting standards",North East Link (from Greensborough),Existing,Transport,144000000
Department of Transport and Planning,2018,qtr 4 2019-20,22000000,95000000,"TEI has increased by $15.000 million due to market conditions, and is funded by savings achieved on other projects.",Drysdale bypass (Drysdale),Existing,Transport,117000000
Department of Transport and Planning,2018,qtr 3 2020-21,26000000,647000000,TEI includes $336.540 million of Commonwealth funding for the capital component of this initiative.,M80 Ring Road upgrade (north and west metropolitan region),Existing,Transport,673000000
Department of Transport and Planning,2018,qtr 4 2018-19,45000000,63000000,TEI for project has changed as a result of corporate cost not being reported against this project. TEI has increased by $52.610 million funded by savings achieved on other projects.,Streamlining Hoddle Street (Richmond),Existing,Transport,109000000
Department of Transport and Planning,2018,qtr 4 2019-20,54000000,72000000,TEI for project has changed as a result of corporate cost not being reported against this project.,Yan Yean Road duplication - Stage 1 (Plenty),Existing,Transport,126000000
Department of Transport and Planning,2018,qtr 4 2018-19,58000000,65000000,TEI has reduced by $24.930 million due to identified project savings.,Thompsons Road duplication (Lyndhurst),Existing,Transport,123000000
Department of Transport and Planning,2018,qtr 2 2018-19,59000000,41000000,TEI has decreased with $9.706 million identified project savings.,"Chandler Highway upgrade (Alphington, Kew)",Existing,Transport,100000000
Department of Transport and Planning,2018,qtr 4 2018-19,76000000,6000000,TEI includes additional funding of $1.859 million to deliver projects within the scope of the program.,Optimising transport network performance - congestion package (statewide),Existing,Transport,82000000
Department of Transport and Planning,2018,qtr 4 2020-21,104000000,162000000,Initiative is funded by the Transport Accident Commission.,Road Safety Towards Zero (statewide),Existing,Transport,266000000
Department of Transport and Planning,2018,qtr 4 2018-19,120000000,3000000,,Road restoration and road surface replacement (statewide),Completed,Transport,123000000
Department of Transport and Planning,2018,qtr 4 2019-20,120000000,817000000,TEI includes estimated PPP finance lease liability. This was previously reported as Western Suburbs Roads Package.,Western Roads upgrade (metropolitan various),New,Transport,937000000
Department of Transport and Planning,2018,qtr 2 2018-19,158000000,136000000,TEI for project has changed as a result of corporate cost not being reported against this project. TEI includes $150.000 million of Commonwealth funding.,M80 Ring Road upgrade Sunshine Avenue to Calder Freeway (Sunshine North),Existing,Transport,294000000
Department of Transport and Planning,2018,qtr 4 2018 -19,183000000,166000000,The estimated completion date has been revised. TEI for project has changed as a result of corporate cost not being reported against this project. TEI includes $181.735 million of Commonwealth funding. TEI includes $29.120 million of identified project savings.,Princes Highway duplication project - Winchelsea to Colac (regional various),Existing,Transport,349000000
Department of Transport and Planning,2018,qtr 4 2018-19,237000000,22000000,TEI for project has changed as a result of corporate cost not being reported against this project. TEI includes $210.000 million Commonwealth funding.,Princes Highway East - Traralgon to Sale duplication (regional various),Existing,Transport,259000000
Department of Transport and Planning,2018,qtr 2 2018-19,254000000,29000000,,Monash Freeway upgrade - EastLink to Clyde Road (metropolitan various),Existing,Transport,283000000
Department of Transport and Planning,2018,qtr 2 2022-23,280000000,6065000000,,West Gate Tunnel (metropolitan various),Existing,Transport,6344000000
Department of Transport and Planning,2018,qtr 2 2022-23,397000000,314000000,Initiative is funded by the Transport Accident Commission.,Road Safety Strategy 2013-22 (statewide),Existing,Transport,711000000
Department of Transport and Planning,2018,qtr 4 2020-21,429000000,68000000,TEI for project has changed as a result of corporate cost adjustment. TEI includes $200.000 million Commonwealth funding.,CityLink - Tulla widening project - CityLink Tunnel to Melbourne Airport (metropolitan various),Completed,Transport,497000000
Department of Transport and Planning,2018,qtr 4 2019-20,491000000,166000000,The estimated completion date has been revised. TEI for project has changed as a result of corporate cost not being reported against this project. TEI includes $499.380 million of Commonwealth funding.,Western Highway duplication - Ballarat to Stawell (regional various),Existing,Transport,656000000
Department of Transport and Planning,2018,qtr 2 2022-23,708000000,685000000,"These works comprise a range of network improvements, such as station works, power, signalling and other infrastructure upgrades and future-proofing works, that are being delivered jointly with the Level Crossing Removal Program.",Metropolitan Network Modernisation Program (metropolitan various),Existing,Transport,1392000000
Director of Housing,2018,various,7000000,178000000,,Public housing renewal program (statewide),Existing,Health and human services,185000000
Goulburn Murray Rural Water Corporation,2018,qtr 2 2020-21,902000000,202000000,"The capital component of the overall project TEI has increased from prior year, however this is offset with a decrease in output expenditure. Overall project forecast remains unchanged. This is in alignment with the Reset Delivery Plan and the Stage 1 Completion Plan.",Connections project (regional various),Existing,Water,1105000000
Other PNFC,2018,qtr 4 2020-21,18000000,253000000,The TEI includes funding of $40 million from the Melbourne and Olympic Parks Trust.,Melbourne Park redevelopment stage three (Melbourne),Existing,"Culture, sport and community",272000000
Other PNFC,2018,qtr 2 2020-21,259000000,79000000,"The TEI includes funding of $40 million from the Melbourne and Olympic Parks Trust. This project was originally captured under Budget Paper No. 4, Chapter 2 in the 2017-18 Budget.",Melbourne Park redevelopment stage two (Melbourne),Existing,"Culture, sport and community",338000000
Victorian Rail Track,2018,qtr 2 2019-20,0,130000000,"TEI includes $35.000 million of Commonwealth funding, and $10.000 million redirected from savings from other projects. This project forms part of the Regional Rail Revival program.",Rail Infrastructure Upgrades from Maryborough and Ararat to Ballarat (statewide),New,Transport,130000000
Victorian Rail Track,2018,tbc,0,173000000,,Regional rail infrastructure and new regional trains (regional various),New,Transport,173000000
Victorian Rail Track,2018,qtr 4 2021-22,0,313000000,,Shepparton line upgrade - Stage 2 (Shepparton),New,Transport,313000000
Victorian Rail Track,2018,qtr 2 2025-26,1629000000,9364000000,The estimated completion date has been revised. TEI excludes $73.476 million due to certain expenditure being recognised as operating instead of capital in line with accounting standards. The TEI excludes financing costs. The TEI includes $35.000 million for High Capacity Signalling Equipment on board new trains allocated in 2017-18 Budget Update.,Metro Tunnel (metropolitan various),Existing,Transport,10993000000
Victorian Rail Track,2018,qtr 4 2021-22,5000000,430000000,TEI includes $418.000 million of Commonwealth funding.,Gippsland Line Upgrade Stage 1 (regional various),Existing,Transport,435000000
Victorian Rail Track,2018,qtr 4 2020-21,20000000,195000000,The estimated completion date has been revised.,More E-Class trams and infrastructure (metropolitan various),Existing,Transport,215000000
Victorian Rail Track,2018,qtr 2 2019-20,25000000,127000000,The estimated completion date has been revised. TEI has decreased by $4.894 million due to reallocation of capital to operating funding. TEI has increased by $23.774 million to meet additional scope and design requirements.,City Loop fire and safety upgrade (stage 2) and intruder alarm (Melbourne),Existing,Transport,152000000
Victorian Rail Track,2018,qtr 2 2019-20,28000000,75000000,,Additional X'Trapolis Metropolitan Trains (metropolitan various),New,Transport,104000000
Victorian Rail Track,2018,qtr 3 2019-20,34000000,203000000,TEI includes additional funding of $49.285 million to address site contamination and risk provisions.,Frankston Line stabling (Seaford),Existing,Transport,237000000
Victorian Rail Track,2018,qtr 2 2018-19,85000000,15000000,The estimated completion date has been revised. The estimated completion date has been brought forward due to acceleration of works.,Flinders Street Station Redevelopment (Melbourne),Existing,Transport,100000000
Victorian Rail Track,2018,qtr 1 2023-24,97000000,2079000000,"TEI includes state costs, state contributions and financing costs. TEI reflects combined funding of $1 301.000 million in the 2015‑16 Budget and funding of $875.000 million in the 2016-17 Budget.",High Capacity Metro Trains (metropolitan various),Existing,Transport,2176000000
Victorian Rail Track,2018,qtr 4 2019-20,98000000,451000000,TEI includes $467.000 million of Commonwealth funding. TEI includes additional funding of $33.700 million to build a new train station at Toolern and excludes $0.969 million due to certain expenditure being recognised as operating instead of capital in line with accounting standards.,Ballarat Line Upgrade Stage 1 (regional various),Existing,Transport,549000000
Victorian Rail Track,2018,qtr 4 2020-21,103000000,185000000,,Major periodic maintenance on the regional rail network (regional various),Existing,Transport,288000000
Victorian Rail Track,2018,qtr 4 2020-21,110000000,167000000,The estimated completion date has been revised. This project was previously reported as More regional trains. TEI has been decreased by $11.760 million due to savings in the VLocity train procurement.,More regional trains - New Vlocity Trains (regional various),Existing,Transport,276000000
Victorian Rail Track,2018,qtr 2 2018-19,113000000,2000000,The estimated completion date has been revised. The estimated completion date has been revised due to additional scope at the Newport Maintenance Facility.,Bayside rail improvements (metropolitan various),Existing,Transport,115000000
Victorian Rail Track,2018,qtr 2 2019-20,113000000,426000000,,Cranbourne Pakenham and Sunbury Line Upgrades (metropolitan various),New,Transport,540000000
Victorian Rail Track,2018,qtr 4 2019-20,117000000,163000000,TEI has reduced by $14.566 million due to certain expenditure being recognised as operating instead of capital in line with accounting standards.,New E-Class trams (metropolitan various),Existing,Transport,280000000
Victorian Rail Track,2018,qtr 2 2019-20,119000000,137000000,"TEI includes an additional $33.518 million for power and platform and substation works, funded from savings on other projects.",Network Transition Plan - Phase A (Statewide),New,Transport,256000000
Victorian Rail Track,2018,qtr 1 2018-19,125000000,11000000,The estimated completion date has been revised.,Hurstbridge rail line upgrade (metropolitan various),Existing,Transport,136000000
Victorian Rail Track,2018,qtr 4 2018-19,131000000,44000000,,Nine additional X'Trapolis trains (metropolitan various),Existing,Transport,175000000
Victorian Rail Track,2018,qtr 4 2019-20,136000000,120000000,The estimated completion date has been revised. TEI excludes $0.934 million due to certain expenditure being recognised as operating instead of capital in line with accounting standards.,New VLocity carriages for the regional network (regional various),Existing,Transport,256000000
Victorian Rail Track,2018,qtr 4 2019-20,158000000,71000000,This project was previously reported as More regional trains.,More regional trains - Regional Network Development Plan (regional various),Existing,Transport,229000000
Victorian Rail Track,2018,qtr 4 2024-25,297000000,1232000000,"TEI incorporates all capital funding for metropolitan rail infrastructure renewals from 2016-17 to 2024-25, including funding provided in the 2017-18 Budget Update for the management of the new train and tram franchise agreement that commenced on 30 November 2017.",Metropolitan rail infrastructure renewal program (metropolitan various),Existing,Transport,1529000000
Victorian Rail Track,2018,qtr 2 2018-19,400000000,27000000,TEI includes $220.000 million of Commonwealth funding. The estimated completion date has been extended due to the delivery of the project aligning with delivery of Ballarat Line Upgrade.,Murray Basin Rail Project (regional various),Existing,Transport,427000000
Victorian Rail Track,2018,qtr 1 2018-19,468000000,136000000,The estimated completion date has been revised. TEI includes additional funding of $7.400 million for Hawkstowe Station under GAIC.,Mernda rail extension project (Mernda),Existing,Transport,604000000
Victorian Rail Track,2018,qtr 2 2019-20,550000000,58000000,,Caulfield to Dandenong conventional signalling and power infrastructure upgrade (metropolitan various),Existing,Transport,608000000
Victorian Rail Track,2018,qtr 2 2019-20,649000000,156000000,The estimated completion date has been revised.,Tram procurement and supporting infrastructure (metropolitan various),Existing,Transport,804000000
Court Services Victoria,2019,qtr 1 2022‑23,0,152000000,,Bendigo Law Courts Redevelopment (Bendigo),New,Justice and emergency services,152000000
Department of Education,2019,qtr 4 2019‑20,0,101000000,,Relocatable Buildings Program - providing relocatable buildings to meet growing demand (statewide),New,Education and Training,101000000
"Department of Environment, Energy and Climate Action",2019,qtr 2 2053‑54,37000000,294000000,,Melbourne strategic assessment (metropolitan various),Existing,Environment,331000000
Department of Health,2019,qtr 4 2024‑25,0,1495000000,Cash flows to be confirmed.  TEI includes $65 million provided in previous budgets and excludes financing costs.,Building a better hospital for Melbourne's inner west (Footscray),New,Health and human services,1495000000
Department of Health,2019,qtr 4 2025‑26,1000000,461000000,,Ballarat Health Services expansion and redevelopment (Ballarat),Existing,Health and human services,462000000
Department of Health,2019,qtr 4 2022‑23,2000000,113000000,,Wonthaggi Hospital emergency department expansion (Wonthaggi),Existing,Health and human services,115000000
Department of Health,2019,qtr 4 2020-21,12000000,112000000,Project name changed from Electronic medical records in Parkville (Parkville) published in the 2018-19 budget papers,Safe Digital Clinical Systems - Parkville Precinct EMR,Existing,Health and human services,124000000
Department of Health,2019,qtr 1 2021‑22,26000000,136000000,The project's cashflow has been revised in line with a revised project schedule.,Northern Hospital inpatient expansion - Stage 2 (Epping),Existing,Health and human services,163000000
Department of Health,2019,qtr 4 2020‑21,63000000,108000000,The project's cashflow has been revised in line with a revised project schedule.,Goulburn Valley Health redevelopment - planning and development (Shepparton),Existing,Health and human services,171000000
Department of Health,2019,qtr 2 2022‑23,72000000,492000000,The project's TEI has increased by $21.000 million to reflect change design requirements by Monash University. The cashflow has been revised in line with a new project schedule.,Victorian Heart Hospital (Clayton),Existing,Health and human services,564000000
Department of Health,2019,qtr 4 2018‑19,114000000,4000000,The project's cashflow has been revised in line with a revised project schedule.,Geelong Hospital - major upgrade (Geelong),Completed,Health and human services,118000000
Department of Health,2019,qtr 4 2019‑20,120000000,20000000,The project's cashflow has been revised in line with a revised project schedule.,Casey Hospital Expansion (Berwick),Existing,Health and human services,140000000
Department of Health,2019,qtr 4 2019‑20,185000000,15000000,The project's cashflow has been revised in line with a revised project schedule. Construction of the hospital is now complete and is scheduled to open in May 2019.,Joan Kirner Women's and Children's Hospital (St Albans),Existing,Health and human services,200000000
Department of Health,2019,qtr 2 2021‑22,200000000,75000000,The project's TEI has increased to reflect the additional joint funding between the department and the Royal Victorian Eye and Ear Hospital. The cashflow has been revised in line with a revised project schedule.,Royal Victorian Eye and Ear Hospital redevelopment (Melbourne),Existing,Health and human services,275000000
"Department of Jobs, Skills, Industry and Regions",2019,qtr 4 2021‑23,5000000,308000000,This is the Victorian and Commonwealth Government's share of the Geelong City Deal. Delays in expenditure partially due to negotiations with Commonwealth.,Geelong City Deal (Geelong),Existing,"Culture, sport and community",312000000
"Department of Jobs, Skills, Industry and Regions",2019,qtr 4 2020‑21,27000000,75000000,This project incorporates the Reimagining Arts Centre Melbourne project and the National Gallery of Victoria Contemporary initiative.  This project also incorporates the previously published Arts Centre Melbourne critical works project.,Melbourne Arts Precinct transformation (Melbourne),New,"Culture, sport and community",102000000
"Department of Jobs, Skills, Industry and Regions",2019,qtr 1 2018‑19,169000000,0,The estimated completion date has been revised.  TEI reflects the state capital construction component only.,Melbourne Exhibition Centre Stage 2 Development (Southbank),Completed,"Culture, sport and community",169000000
Department of Justice and Community Safety,2019,qtr 4 2021‑22,0,189000000,,Women's prison system capacity (statewide),New,Justice and emergency services,189000000
Department of Justice and Community Safety,2019,qtr 4 2021‑22,36000000,653000000,Previously known as Lara Prison precinct expansion published in 2018‑19 budget papers. Cash flow has been revised in line with a revised project schedule.,Chisholm Road prison project (Chisholm Road),New,Justice and emergency services,689000000
Department of Justice and Community Safety,2019,qtr 4 2022‑23,37000000,1218000000,,Men's prison system capacity (statewide),New,Justice and emergency services,1255000000
Department of Justice and Community Safety,2019,qtr 4 2020‑21,41000000,237000000,,New youth justice facility (Cherry Creek),Existing,Justice and emergency services,278000000
Department of Justice and Community Safety,2019,qtr 2 2020‑21,73000000,51000000,"TEI, cash flow and timing has been revised in line with a revised project scope.",Prison capacity expansion (Melbourne),Existing,Justice and emergency services,124000000
Department of Justice and Community Safety,2019,various,118000000,4000000,,Public Safety - Police Response (statewide),Existing,Justice and emergency services,122000000
Department of Justice and Community Safety,2019,various,127000000,201000000,"TEI has been revised due to changes in project scope, with additional resources allocated to police operations.",Community Safety Statement (statewide),Existing,Justice and emergency services,328000000
Department of Transport and Planning,2019,qtr 2 2025‑26,0,6550000000,,75 by 2025 (Level Crossing Removal) (metropolitan various),New,Transport,6550000000
Department of Transport and Planning,2019,qtr 4 2026‑27,0,15640000000,TEI includes $143.765 million in funding announced in previous budgets and excludes $150.011 million due to certain expenditure being recognised as expensed State costs (rather than capitalised) in accordance with relevant accounting standards. TEI excludes financing costs. Funding profile is not reported at this time due to commercial sensitivity of the live tender process.,North East Link,New,Transport,15640000000
Department of Transport and Planning,2019,tbc,0,169000000,,Hall Road Upgrade (Skye),New,Transport,169000000
Department of Transport and Planning,2019,tbc,0,318000000,,Barwon Heads Road upgrade (Barwon Heads),New,Transport,318000000
Department of Transport and Planning,2019,qtr 2 2022‑23,2530000000,3772000000,TEI excludes $42.508 million due to certain expenditure being recognised as operating instead of capital in line with accounting standards.,West Gate Tunnel (metropolitan various),Existing,Transport,6302000000
Department of Transport and Planning,2019,qtr 2 2022‑23,3958000000,2801000000,"TEI includes $151.000 million of Commonwealth funding for Main Road St Albans, and excludes $119.753 million recognised as operating instead of capital in line with accounting standards.",Level Crossing Removal Program (metropolitan various),Existing,Transport,6759000000
Department of Transport and Planning,2019,qtr 4 2020‑21,6000000,143000000,This initiative is funded by the Transport Accident Commission. The estimated completion date has been revised to quarter 4 2020‑21 due to extended community engagement.,Continuing Towards Zero (regional various),Existing,Transport,149000000
Department of Transport and Planning,2019,qtr 2 2020‑21,11000000,132000000,TEI has increased by $40.000 million due to market escalation. The estimated completion date has been revised to quarter 2 2020‑21 due to procurement requirements.,Plenty Road upgrade - Stage 2 (South Morang),Existing,Transport,143000000
Department of Transport and Planning,2019,qtr 4 2021‑22,33000000,101000000,TEI includes $46.000 million of Commonwealth funding and excludes contribution from New South Wales.,Echuca‑Moama bridge (Echuca),Existing,Transport,135000000
Department of Transport and Planning,2019,qtr 4 2020‑21,35000000,67000000,TEI has increased by $25.000 million due to market escalation. TEI includes $25.801 million of Commonwealth funding. The estimated completion date has been revised to quarter 4 2020‑21 due to environmental approvals.,O'Herns Road upgrade (Epping),Existing,Transport,103000000
Department of Transport and Planning,2019,qtr 4 2022‑23,35000000,649000000,TEI includes $483.800 million of Commonwealth funding.,Monash Freeway upgrade - Stage 2 (South East Melbourne),Existing,Transport,684000000
Department of Transport and Planning,2019,qtr 2 2022‑23,58000000,317000000,,Mordialloc Freeway (Braeside),Existing,Transport,375000000
Department of Transport and Planning,2019,qtr 2 2023‑24,63000000,2205000000,"TEI includes estimated PPP financial liabilities. TEI includes $1,140 million of Commonwealth funding. The estimated completion date has been revised to quarter 2 2023‑24.  Yan Yean Road has been funded under this initiative but will be delivered separately to the PPP.",Suburban Roads Upgrade - Northern Roads Upgrade and South Eastern Roads Upgrade (metropolitan),Existing,Transport,2269000000
Department of Transport and Planning,2019,qtr 3 2022‑23,66000000,607000000,TEI includes $336.540 million of Commonwealth funding. The estimated completion date has been revised to quarter 3 2022‑23 due to procurement timing.,M80 Ring Road upgrade (north and west metropolitan region),Existing,Transport,673000000
Department of Transport and Planning,2019,qtr 4 2019‑20,67000000,51000000,,Drysdale bypass (Drysdale),Existing,Transport,117000000
Department of Transport and Planning,2019,qtr 1 2019‑20,92000000,8000000,The estimated completion date has been revised to quarter 1 2019‑20 due to unexpected asbestos.,"Chandler Highway upgrade (Alphington, Kew)",Existing,Transport,100000000
Department of Transport and Planning,2019,qtr 4 2020‑21,95000000,13000000,,Streamlining Hoddle Street (Richmond),Completed,Transport,109000000
Department of Transport and Planning,2019,qtr 4 2019‑20,97000000,5000000,TEI has increased by $20.083 million due to the complexity of delivering the project scope. The estimated completion date has been revised to quarter 4 2019‑20 due to extended community consultation and interface with other projects.,Optimising transport network performance - congestion package (statewide),Existing,Transport,103000000
Department of Transport and Planning,2019,qtr 4 2019‑20,100000000,95000000,,Metropolitan and regional restoration and maintenance (statewide),Existing,Transport,195000000
Department of Transport and Planning,2019,qtr 4 2019‑20,118000000,8000000,,Yan Yean Road duplication - Stage 1 (Plenty),Existing,Transport,126000000
Department of Transport and Planning,2019,qtr 4 2020‑21,123000000,0,,Thompsons Road duplication (Lyndhurst),Completed,Transport,123000000
Department of Transport and Planning,2019,qtr 4 2020‑21,172000000,121000000,TEI includes $150.000 million of Commonwealth funding.,M80 Ring Road upgrade Sunshine Avenue to Calder Freeway (Sunshine North),Completed,Transport,294000000
Department of Transport and Planning,2019,qtr 4 2021‑22,246000000,13000000,TEI includes $210.000 million of Commonwealth funding.,Princes Highway East - Traralgon to Sale duplication (regional various),Completed,Transport,259000000
Department of Transport and Planning,2019,qtr 4 2020‑21,251000000,40000000,TEI has increased by $25.000 million due to funding transferred from the Road Safety Strategy 2013‑22 (statewide) program. Initiative is funded by the Transport Accident Commission.,Road Safety Towards Zero (statewide),Existing,Transport,291000000
Department of Transport and Planning,2019,qtr 4 2019‑20,263000000,20000000,,Monash Freeway upgrade - EastLink to Clyde Road (metropolitan various),Completed,Transport,283000000
Department of Transport and Planning,2019,qtr 2 2019‑20,282000000,67000000,TEI includes $181.735 million of Commonwealth funding. The estimated completion date has been revised to quarter 2 2019‑20 due to design changes and archaeological discoveries.,Princes Highway duplication project - Winchelsea to Colac (regional various),Existing,Transport,349000000
Department of Transport and Planning,2019,qtr 2 2021‑22,512000000,144000000,TEI includes $499.380 million of Commonwealth funding. The estimated completion date has been revised to quarter 2 2021‑22 due to a change in scope.,Western Highway duplication - Ballarat to Stawell (regional various),Existing,Transport,656000000
Department of Transport and Planning,2019,qtr 2 2022‑23,565000000,99000000,"TEI has reduced by $47.241 million, with $25.000 million transferred to the Road Safety Toward Zero program and $22.241 million to Active Transport program. Initiative is funded by the Transport Accident Commission.",Road Safety Strategy 2013‑2022 (statewide),Existing,Transport,664000000
Department of Transport and Planning,2019,qtr 4 2019‑20,719000000,218000000,TEI includes estimated PPP financial liability.,Western Roads upgrade (metropolitan various),Existing,Transport,937000000
Department of Transport and Planning,2019,qtr 2 2022‑23,802000000,590000000,"These works comprise a range of network improvements, such as station works, power, signalling and other infrastructure upgrades and future‑proofing works, that are being delivered jointly with the Level Crossing Removal Program.",Metropolitan Network Modernisation Program (metropolitan various),Existing,Transport,1392000000
Director of Housing,2019,qtr 2 2022‑23,0,209000000,,Building new homes to fight homelessness (statewide),New,Health and human services,209000000
Director of Housing,2019,qtr 4 2028‑29,23000000,162000000,,Public housing renewal program (statewide),Existing,Health and human services,185000000
Goulburn Murray Rural Water Corporation,2019,qtr 2 2020‑21,1053000000,47000000,,Connections project (regional various),Existing,Water,1100000000
Other PNFC,2019,qtr 4 2022‑23,0,128000000,,Building a world‑class Geelong Performing Arts Centre (Geelong),New,"Culture, sport and community",128000000
Other PNFC,2019,qtr 4 2021‑22,81000000,191000000,The TEI includes funding of $40 million from the Melbourne and Olympic Parks Trust.  The estimated completion date has been revised.,Melbourne Park redevelopment stage three (Melbourne),Existing,"Culture, sport and community",272000000
Other PNFC,2019,qtr 2 2020‑21,327000000,12000000,TEI includes funding of $40 million from the Melbourne and Olympic Parks Trust.,Melbourne Park redevelopment stage two (Melbourne),Existing,"Culture, sport and community",338000000
Victorian Rail Track,2019,qtr 2 2024‑25,0,2050000000,,New trains for Sunbury (metropolitan various),New,Transport,2050000000
Victorian Rail Track,2019,tbc,0,145000000,,New Trams (metropolitan various),New,Transport,145000000
Victorian Rail Track,2019,qtr 4 2022‑23,0,150000000,,Car Parks for Commuters (statewide),New,Transport,150000000
Victorian Rail Track,2019,tbc,0,250000000,Funding is for detailed planning and development activities.,Suburban Rail Loop,New,Transport,250000000
Victorian Rail Track,2019,tbc,0,340000000,,Additional VLocity trains (regional various),New,Transport,340000000
Victorian Rail Track,2019,tbc,0,530000000,The completion date is subject to the completion of planning for the project.,Hurstbridge Line Upgrade Stage 2 (metropolitan various),New,Transport,530000000
Victorian Rail Track,2019,qtr 4 2019‑20,0,750000000,,Cranbourne Line Duplication planning and development (metropolitan various),New,Transport,750000000
Victorian Rail Track,2019,qtr 2 2025‑26,4460000000,6423000000,"TEI excludes $109.380 million due to certain expenditure being recognised as operating instead of capital, in line with accounting standards. TEI excludes financing costs.",Metro Tunnel (metropolitan various),Existing,Transport,10883000000
Victorian Rail Track,2019,qtr 2 2022‑23,4000000,106000000,TEI includes $99.000 million of Commonwealth funding.,Geelong Line Upgrade - Waurn Ponds Duplication (Stage 1) (regional various),New,Transport,110000000
Victorian Rail Track,2019,qtr 2 2022‑23,10000000,302000000,"TEI excludes $0.422 million due to certain expenditure being recognised as operating instead of capital, in line with accounting standards. Project name changed from 'Shepparton Line Upgrade - Stage 2' published in 2018-19 Budget. The estimated completion date has been revised due to the packaging of the Gippsland‑Shepparton‑Bendigo alliance.",Shepparton Corridor Upgrade - Stage 2 (Shepparton),Existing,Transport,312000000
Victorian Rail Track,2019,tbc,10000000,671000000,This funding represents the Commonwealth contribution to the project. The Government has made a substantial provision in the Victorian Transport Fund for this project. The project is in its planning phase.,Melbourne Airport Rail,New,Transport,681000000
Victorian Rail Track,2019,qtr 4 2021‑22,16000000,98000000,TEI includes $104.000 million of Commonwealth funding.,Warrnambool Line Upgrade (regional various),Existing,Transport,114000000
Victorian Rail Track,2019,qtr 2 2022‑23,31000000,403000000,"TEI includes $418.000 million of Commonwealth funding, and excludes $1.062 million due to certain expenditure being recognised as operating instead of capital in line with accounting standards. The estimated completion date has been revised due to packaging of the Gippsland‑Shepparton‑Bendigo alliance.",Gippsland Line Upgrade Stage 1 (regional various),Existing,Transport,434000000
Victorian Rail Track,2019,tbc,41000000,111000000,"The main delivery contractor has been put into administration, and work is progressing to assess the impact to cost and schedule.",City Loop fire and safety upgrade (stage 2) and intruder alarm (Melbourne),Existing,Transport,152000000
Victorian Rail Track,2019,qtr 4 2019‑20,48000000,56000000,The estimated completion date has been extended to quarter 4 2019‑20 to accommodate the updated delivery schedule of the Digital Train Radio System.,Additional X'Trapolis Metropolitan Trains (metropolitan various),Existing,Transport,104000000
Victorian Rail Track,2019,qtr 4 2021‑22,56000000,159000000,The estimated completion date has been revised to quarter 4 2021‑22 as works are progressing to secure land holdings for the power substations.,More E‑Class trams and infrastructure (metropolitan various),Existing,Transport,215000000
Victorian Rail Track,2019,qtr 3 2019‑20,83000000,90000000,Project name changed from 'Regional rail infrastructure and new regional trains' published in 2018-19 Budget.,Wyndham Vale Stabling Yard (regional various),Existing,Transport,173000000
Victorian Rail Track,2019,qtr 1 2019‑20,99000000,1000000,The estimated completion date has been revised to quarter 1 2019‑20 to implement signage and pathing improvements.,Flinders Street Station Redevelopment (Melbourne),Existing,Transport,100000000
Victorian Rail Track,2019,qtr 3 2019‑20,110000000,127000000,"TEI excludes $0.002 million due to certain expenditure being recognised as operating instead of capital, in line with accounting standards.",Frankston Line stabling (Kananook),Existing,Transport,237000000
Victorian Rail Track,2019,qtr 2 2019‑20,112000000,3000000,"The estimated completion date has been revised to quarter 2 2019‑20 to integrate train operational requirements, including at the Newport Maintenance Facility.",Bayside rail improvements (metropolitan various),Existing,Transport,115000000
Victorian Rail Track,2019,qtr 1 2020‑21,136000000,0,,Hurstbridge rail line upgrade (metropolitan various),Completed,Transport,136000000
Victorian Rail Track,2019,qtr 4 2021‑22,145000000,108000000,"The estimated completion date has been revised due to revised scope. TEI excludes $2.150 million due to savings, and $1.638 million due to certain expenditure being recognised as operating instead of capital, in line with accounting standards.",New VLocity carriages for the regional network (regional various),Existing,Transport,252000000
Victorian Rail Track,2019,qtr 4 2021‑22,148000000,27000000,TEI has reduced by $0.363 million due to savings.,Nine additional X'Trapolis trains (metropolitan various),Completed,Transport,175000000
Victorian Rail Track,2019,qtr 4 2019‑20,156000000,70000000,TEI has reduced by $2.500 million due to savings.,More regional trains - Regional Network Development Plan (regional various),Existing,Transport,226000000
Victorian Rail Track,2019,qtr 4 2020‑21,161000000,119000000,The estimated completion date has been revised to quarter 4 2020‑21 as works are progressing to secure land holdings for the power substations.,New E‑Class trams (metropolitan various),Existing,Transport,280000000
Victorian Rail Track,2019,qtr 4 2020‑21,171000000,100000000,TEI has reduced by $5.701 million due to savings.,More regional trains - New Vlocity Trains (regional various),Existing,Transport,270000000
Victorian Rail Track,2019,qtr 4 2019‑20,185000000,103000000,The estimated completion date has been revised to quarter 4 2019‑20 to prioritise critical asset maintenance works.,Major periodic maintenance on the regional rail network (regional various),Existing,Transport,288000000
