name,theme,entity,type,investment,lga,feature_type,Geographic Latitude,Geographic Longitude,description
Ready for school: Kinder for every three-year-old,Education,Department of Education,Early Childhood Development,$302 million*,Loddon (S),LGA,,,"Further investment is provided to continue the progressive roll-out of universal three-year-old kindergarten, ensuring that children can access the benefits of two years of play-based learning at kindergarten before school."
Ready for school: Kinder for every three-year-old,Education,Department of Education,Early Childhood Development,$302 million*,Murrindindi (S),LGA,,,"Further investment is provided to continue the progressive roll-out of universal three-year-old kindergarten, ensuring that children can access the benefits of two years of play-based learning at kindergarten before school."
Ready for school: Kinder for every three-year-old,Education,Department of Education,Early Childhood Development,$302 million*,Southern Grampians (S),LGA,,,"Further investment is provided to continue the progressive roll-out of universal three-year-old kindergarten, ensuring that children can access the benefits of two years of play-based learning at kindergarten before school."
Ready for school: Kinder for every three-year-old,Education,Department of Education,Early Childhood Development,$302 million*,Towong (S),LGA,,,"Further investment is provided to continue the progressive roll-out of universal three-year-old kindergarten, ensuring that children can access the benefits of two years of play-based learning at kindergarten before school."
Ready for school: Kinder for every three-year-old,Education,Department of Education,Early Childhood Development,$302 million*,West Wimmera (S),LGA,,,"Further investment is provided to continue the progressive roll-out of universal three-year-old kindergarten, ensuring that children can access the benefits of two years of play-based learning at kindergarten before school."
Ready for school: Kinder for every three-year-old,Education,Department of Education,Early Childhood Development,$302 million*,Buloke (S),LGA,,,"Further investment is provided to continue the progressive roll-out of universal three-year-old kindergarten, ensuring that children can access the benefits of two years of play-based learning at kindergarten before school."
Ready for school: Kinder for every three-year-old,Education,Department of Education,Early Childhood Development,$302 million*,Hindmarsh (S),LGA,,,"Further investment is provided to continue the progressive roll-out of universal three-year-old kindergarten, ensuring that children can access the benefits of two years of play-based learning at kindergarten before school."
Ready for school: Kinder for every three-year-old,Education,Department of Education,Early Childhood Development,$302 million*,Northern Grampians (S),LGA,,,"Further investment is provided to continue the progressive roll-out of universal three-year-old kindergarten, ensuring that children can access the benefits of two years of play-based learning at kindergarten before school."
Ready for school: Kinder for every three-year-old,Education,Department of Education,Early Childhood Development,$302 million*,South Gippsland (S),LGA,,,"Further investment is provided to continue the progressive roll-out of universal three-year-old kindergarten, ensuring that children can access the benefits of two years of play-based learning at kindergarten before school."
Ready for school: Kinder for every three-year-old,Education,Department of Education,Early Childhood Development,$302 million*,Strathbogie (S),LGA,,,"Further investment is provided to continue the progressive roll-out of universal three-year-old kindergarten, ensuring that children can access the benefits of two years of play-based learning at kindergarten before school."
Ready for school: Kinder for every three-year-old,Education,Department of Education,Early Childhood Development,$302 million*,Yarriambiack (S),LGA,,,"Further investment is provided to continue the progressive roll-out of universal three-year-old kindergarten, ensuring that children can access the benefits of two years of play-based learning at kindergarten before school."
Redevelopment of the Barwon Heads Surf Lifesaving facility,Emergency Services,Department of Justice and Community Safety,Emergency Management Capability,$0.9 million,Greater Geelong (C),Point,-38.284728,144.465431,"Further investment is provided to continue the progressive roll-out of universal three-year-old kindergarten, ensuring that children can access the benefits of two years of play-based learning at kindergarten before school."
Regional creative infrastructure projects,Regional Investment,"Department of Jobs, Precincts and Regions",Creative Industries,$35 million*,Macedon Ranges (S),Point,-37.248854,144.462192,"Further investment is provided to continue the progressive roll-out of universal three-year-old kindergarten, ensuring that children can access the benefits of two years of play-based learning at kindergarten before school."
Regional creative infrastructure projects,Regional Investment,"Department of Jobs, Precincts and Regions",Creative Industries,$35 million*,Mount Alexander (S),Point,-37.062781,144.213669,Funding is provided to redevelop the Barwon Heads Surf Lifesaving facility to increase the amount of space available for training and equipment storage to ensure beachgoers are safe.
Regional creative infrastructure projects,Regional Investment,"Department of Jobs, Precincts and Regions",Creative Industries,$35 million*,Benalla (RC),Point,-36.552215,145.979483,"Funding is provided to enhance regional and community infrastructure, delivering greater access, supporting new and touring exhibitions and improving collection storage."
Regional creative infrastructure projects,Regional Investment,"Department of Jobs, Precincts and Regions",Creative Industries,$35 million*,Greater Shepparton (C),Point,-36.37741,145.398209,"Funding is provided to enhance regional and community infrastructure, delivering greater access, supporting new and touring exhibitions and improving collection storage."
Regional creative infrastructure projects,Regional Investment,"Department of Jobs, Precincts and Regions",Creative Industries,$35 million*,Latrobe (C),Point,-38.193342,146.534203,"Funding is provided to enhance regional and community infrastructure, delivering greater access, supporting new and touring exhibitions and improving collection storage."
Regional creative infrastructure projects,Regional Investment,"Department of Jobs, Precincts and Regions",Creative Industries,$35 million*,Buloke (S),Point,-36.268545,143.349224,"Funding is provided to enhance regional and community infrastructure, delivering greater access, supporting new and touring exhibitions and improving collection storage."
Regional creative infrastructure projects,Regional Investment,"Department of Jobs, Precincts and Regions",Creative Industries,$35 million*,Surf Coast (S),Point,-38.326463,144.315804,"Funding is provided to enhance regional and community infrastructure, delivering greater access, supporting new and touring exhibitions and improving collection storage."
Regional creative infrastructure projects,Regional Investment,"Department of Jobs, Precincts and Regions",Creative Industries,$35 million*,Strathbogie (S),Point,-36.75294,145.572912,"Funding is provided to enhance regional and community infrastructure, delivering greater access, supporting new and touring exhibitions and improving collection storage."
Restoring our local ports and boating infrastructure,Sports and Recreation,Department of Transport,Sustainably Managed Fish and Boating Resources,$1.6 million,Moonee Valley (C),Point,-37.779012,144.897689,"Funding is provided to enhance regional and community infrastructure, delivering greater access, supporting new and touring exhibitions and improving collection storage."
Richmond Football Club Punt Road Oval Redevelopment,Sports and Recreation,"Department of Jobs, Precincts and Regions","Sport, Community Sport, Recreation and Racing",$15 million,Melbourne (C),Point,-37.822206,144.988258,"Funding is provided to enhance regional and community infrastructure, delivering greater access, supporting new and touring exhibitions and improving collection storage."
Robinvale to Sea Lake Road upgrade ,Roads,Department of Transport,Road Network Performance,$10 million,Swan Hill (RC),Point,-34.825006,142.819928,A new boat ramp will be constructed in Ascot Vale to open up a 15 kilometre stretch of the Maribyrnong River to small craft.
"Safer, better public parks",Environment and Parkland,"Department of Environment, Land, Water and Planning",Parks Victoria,$52 million*,Port Phillip (C),Point,-37.847088,144.969338,Funding is provided towards the Richmond Football Club’s redevelopment at the Punt Road Oval.
"Safer, better public parks",Environment and Parkland,"Department of Environment, Land, Water and Planning",Parks Victoria,$52 million*,Kingston (C),Point,-37.991325,145.125959,Upgrades to sections of the Robinvale to Sea Lake Road will improve safety for motorists and the efficiency of freight in this part of northern Victoria.
"Safer, better public parks",Environment and Parkland,"Department of Environment, Land, Water and Planning",Parks Victoria,$52 million*,Brimbank (C),Point,-37.731068,144.832148,Funding is provided to Parks Victoria to maintain and upgrade a range of visitor facilities across Victoria including 35 playgrounds. 
"Safer, better public parks",Environment and Parkland,"Department of Environment, Land, Water and Planning",Parks Victoria,$52 million*,Cardinia (S),Point,-37.969529,145.394695,Funding is provided to Parks Victoria to maintain and upgrade a range of visitor facilities across Victoria including 35 playgrounds. 
"Safer, better public parks",Environment and Parkland,"Department of Environment, Land, Water and Planning",Parks Victoria,$52 million*,Yarra (C),Point,-37.799529,145.007963,Funding is provided to Parks Victoria to maintain and upgrade a range of visitor facilities across Victoria including 35 playgrounds. 
"Safer, better public parks",Environment and Parkland,"Department of Environment, Land, Water and Planning",Parks Victoria,$52 million*,Yarra Ranges (S),Point,-37.833476,145.350117,Funding is provided to Parks Victoria to maintain and upgrade a range of visitor facilities across Victoria including 35 playgrounds. 
"Safer, better public parks",Environment and Parkland,"Department of Environment, Land, Water and Planning",Parks Victoria,$52 million*,Hume (C),Point,-37.63433,144.894079,Funding is provided to Parks Victoria to maintain and upgrade a range of visitor facilities across Victoria including 35 playgrounds. 
"Safer, better public parks",Environment and Parkland,"Department of Environment, Land, Water and Planning",Parks Victoria,$52 million*,Monash (C),Point,-37.896492,145.196042,Funding is provided to Parks Victoria to maintain and upgrade a range of visitor facilities across Victoria including 35 playgrounds. 
"Safer, better public parks",Environment and Parkland,"Department of Environment, Land, Water and Planning",Parks Victoria,$52 million*,Kingston (C),Point,-37.942398,145.081243,Funding is provided to Parks Victoria to maintain and upgrade a range of visitor facilities across Victoria including 35 playgrounds. 
"Safer, better public parks",Environment and Parkland,"Department of Environment, Land, Water and Planning",Parks Victoria,$52 million*,Yarra Ranges (S),Point,-37.644376,145.550383,Funding is provided to Parks Victoria to maintain and upgrade a range of visitor facilities across Victoria including 35 playgrounds. 
"Safer, better public parks",Environment and Parkland,"Department of Environment, Land, Water and Planning",Parks Victoria,$52 million*,Mornington Peninsula (S),Point,-38.229682,145.058793,Funding is provided to Parks Victoria to maintain and upgrade a range of visitor facilities across Victoria including 35 playgrounds. 
"Safer, better public parks",Environment and Parkland,"Department of Environment, Land, Water and Planning",Parks Victoria,$52 million*,Yarra Ranges (S),Point,-37.853906,145.371761,Funding is provided to Parks Victoria to maintain and upgrade a range of visitor facilities across Victoria including 35 playgrounds. 
"Safer, better public parks",Environment and Parkland,"Department of Environment, Land, Water and Planning",Parks Victoria,$52 million*,Brimbank (C),Point,-37.667439,144.766182,Funding is provided to Parks Victoria to maintain and upgrade a range of visitor facilities across Victoria including 35 playgrounds. 
"Safer, better public parks",Environment and Parkland,"Department of Environment, Land, Water and Planning",Parks Victoria,$52 million*,Nillumbik (S),Point,-37.669131,145.094677,Funding is provided to Parks Victoria to maintain and upgrade a range of visitor facilities across Victoria including 35 playgrounds. 
"Safer, better public parks",Environment and Parkland,"Department of Environment, Land, Water and Planning",Parks Victoria,$52 million*,Wyndham (C),Point,-37.917463,144.747795,Funding is provided to Parks Victoria to maintain and upgrade a range of visitor facilities across Victoria including 35 playgrounds. 
"Safer, better public parks",Environment and Parkland,"Department of Environment, Land, Water and Planning",Parks Victoria,$52 million*,Hobsons Bay (C),Point,-37.867809,144.909608,Funding is provided to Parks Victoria to maintain and upgrade a range of visitor facilities across Victoria including 35 playgrounds. 
"Safer, better public parks",Environment and Parkland,"Department of Environment, Land, Water and Planning",Parks Victoria,$52 million*,Yarra Ranges (S),Point,-37.825461,145.405996,Funding is provided to Parks Victoria to maintain and upgrade a range of visitor facilities across Victoria including 35 playgrounds. 
"Safer, better public parks",Environment and Parkland,"Department of Environment, Land, Water and Planning",Parks Victoria,$52 million*,Whitehorse (C),Point,-37.838396,145.105618,Funding is provided to Parks Victoria to maintain and upgrade a range of visitor facilities across Victoria including 35 playgrounds. 
"Safer, better public parks",Environment and Parkland,"Department of Environment, Land, Water and Planning",Parks Victoria,$52 million*,Manningham (C),Point,-37.746849,145.134922,Funding is provided to Parks Victoria to maintain and upgrade a range of visitor facilities across Victoria including 35 playgrounds. 
"Safer, better public parks",Environment and Parkland,"Department of Environment, Land, Water and Planning",Parks Victoria,$52 million*,Whittlesea (C),Point,-37.562179,145.122578,Funding is provided to Parks Victoria to maintain and upgrade a range of visitor facilities across Victoria including 35 playgrounds. 
"Safer, better public parks",Environment and Parkland,"Department of Environment, Land, Water and Planning",Parks Victoria,$52 million*,Yarra (C),Point,-37.790128,145.008673,Funding is provided to Parks Victoria to maintain and upgrade a range of visitor facilities across Victoria including 35 playgrounds. 
"Safer, better public parks",Environment and Parkland,"Department of Environment, Land, Water and Planning",Parks Victoria,$52 million*,Manningham (C),Point,-37.759061,145.079972,Funding is provided to Parks Victoria to maintain and upgrade a range of visitor facilities across Victoria including 35 playgrounds. 
Shepparton Rail Line Upgrade Stage 3,Public Transport,Department of Transport,Train Services,$400 million*,Greater Shepparton (C),LGA,,,Funding is provided to Parks Victoria to maintain and upgrade a range of visitor facilities across Victoria including 35 playgrounds. 
Shepparton Rail Line Upgrade Stage 3,Public Transport,Department of Transport,Train Services,$400 million*,Hume (C),LGA,,,Funding is provided to Parks Victoria to maintain and upgrade a range of visitor facilities across Victoria including 35 playgrounds. 
Shepparton Rail Line Upgrade Stage 3,Public Transport,Department of Transport,Train Services,$400 million*,Mitchell (S),LGA,,,Funding is provided for Stage 3 of the Shepparton Rail Line Upgrade to deliver a range of infrastructure upgrades that will enable nine VLocity daily return passenger services.
Shepparton Rail Line Upgrade Stage 3,Public Transport,Department of Transport,Train Services,$400 million*,Strathbogie (S),LGA,,,Funding is provided for Stage 3 of the Shepparton Rail Line Upgrade to deliver a range of infrastructure upgrades that will enable nine VLocity daily return passenger services.
Shepparton Rail Line Upgrade Stage 3,Public Transport,Department of Transport,Train Services,$400 million*,Whittlesea (C),LGA,,,Funding is provided for Stage 3 of the Shepparton Rail Line Upgrade to deliver a range of infrastructure upgrades that will enable nine VLocity daily return passenger services.
Skills for resilient and emerging industries,Education,Department of Education,"Training, Higher Education and Workforce Development",$75 million*,Maribyrnong (C),Point,-37.794663,144.898022,Funding is provided for Stage 3 of the Shepparton Rail Line Upgrade to deliver a range of infrastructure upgrades that will enable nine VLocity daily return passenger services.
Skills for resilient and emerging industries,Education,Department of Education,"Training, Higher Education and Workforce Development",$75 million*,Banyule (C),Point,-37.734552,145.078728,Funding is provided for Stage 3 of the Shepparton Rail Line Upgrade to deliver a range of infrastructure upgrades that will enable nine VLocity daily return passenger services.
Social cohesion through education,Education,Department of Education,Support Services Delivery,$0.7 million*,Banyule (C),Point,-37.743981,145.046872,"Funding is provided to enable the rapid retraining of workers into high-priority industries through additional places in accredited skill sets, delivered through a new Victorian Funded Skill Set List."
Social cohesion through education,Education,Department of Education,Support Services Delivery,$0.7 million*,Greater Dandenong (C),Point,-37.984899,145.213951,"Funding is provided to enable the rapid retraining of workers into high-priority industries through additional places in accredited skill sets, delivered through a new Victorian Funded Skill Set List."
Social cohesion through education,Education,Department of Education,Support Services Delivery,$0.7 million*,Hume (C),Point,-37.686204,144.926483,"Funding will continue to support school communities and young people to be more engaged and informed to reduce the risk of isolation, marginalisation and attraction to violent extremism."
Social cohesion through education,Education,Department of Education,Support Services Delivery,$0.7 million*,Melbourne (C),Point,-37.799044,144.946611,"Funding will continue to support school communities and young people to be more engaged and informed to reduce the risk of isolation, marginalisation and attraction to violent extremism."
Social cohesion through education,Education,Department of Education,Support Services Delivery,$0.7 million*,Wyndham (C),Point,-37.890079,144.629782,"Funding will continue to support school communities and young people to be more engaged and informed to reduce the risk of isolation, marginalisation and attraction to violent extremism."
State Basketball Centre Redevelopment,Sports and Recreation,"Department of Jobs, Precincts and Regions","Sport, Community Sport, Recreation and Racing",$22 million,Knox (C),Point,-37.880154,145.212302,"Funding will continue to support school communities and young people to be more engaged and informed to reduce the risk of isolation, marginalisation and attraction to violent extremism."
State Sport Centres Trust,Sports and Recreation,"Department of Jobs, Precincts and Regions","Sport, Community Sport, Recreation and Racing",$13 million*,Port Phillip (C),Point,-37.842999,144.961935,"Funding will continue to support school communities and young people to be more engaged and informed to reduce the risk of isolation, marginalisation and attraction to violent extremism."
State Sport Centres Trust,Sports and Recreation,"Department of Jobs, Precincts and Regions","Sport, Community Sport, Recreation and Racing",$13 million*,Melbourne (C),Point,-37.785129,144.94781,Funding is provided for the redevelopment and expansion of the State Basketball Centre in Wantirna South to create one of Australia’s premier basketball facilities.
State Sport Centres Trust,Sports and Recreation,"Department of Jobs, Precincts and Regions","Sport, Community Sport, Recreation and Racing",$13 million*,Port Phillip (C),Point,-37.83998,144.965332,Funding is provided to support the State Sport Centres Trust to continue operations and undertake asset maintenance.
State Sport Centres Trust,Sports and Recreation,"Department of Jobs, Precincts and Regions","Sport, Community Sport, Recreation and Racing",$13 million*,Port Phillip (C),Point,-37.841312,144.960693,Funding is provided to support the State Sport Centres Trust to continue operations and undertake asset maintenance.
Strengthening our Dairy Supply Chain,Roads,Department of Transport,Road Network Performance,$17.4 million,Surf Coast (S),Point,-38.334325,144.095966,Funding is provided to support the State Sport Centres Trust to continue operations and undertake asset maintenance.
Suburban revitalisation and growth,Strong Communities,"Department of Jobs, Precincts and Regions",Local Government and Suburban Development,$20 million*,Hobsons Bay (C),Point,-37.870819,144.829908,Funding is provided to support the State Sport Centres Trust to continue operations and undertake asset maintenance.
Suburban revitalisation and growth,Strong Communities,"Department of Jobs, Precincts and Regions",Local Government and Suburban Development,$20 million*,Yarra Ranges (S),Point,-37.757377,145.351428,Funding is provided to strengthen the road network used by the Barwon South West dairy industry to improve efficiency of freight movements and allow our dairy industry to scale up production.
Suburban revitalisation and growth,Strong Communities,"Department of Jobs, Precincts and Regions",Local Government and Suburban Development,$20 million*,Melton (C),Point,-37.683168,144.583212,Funding is provided to continue the suburban revitalisation projects at Broadmeadows and Frankston and to commence infrastructure delivery for planned revitalisation sites.
Suburban revitalisation and growth,Strong Communities,"Department of Jobs, Precincts and Regions",Local Government and Suburban Development,$20 million*,Knox (C),Point,-37.862439,145.285544,Funding is provided to continue the suburban revitalisation projects at Broadmeadows and Frankston and to commence infrastructure delivery for planned revitalisation sites.
Suburban revitalisation and growth,Strong Communities,"Department of Jobs, Precincts and Regions",Local Government and Suburban Development,$20 million*,Greater Dandenong (C),Point,-37.966266,145.174932,Funding is provided to continue the suburban revitalisation projects at Broadmeadows and Frankston and to commence infrastructure delivery for planned revitalisation sites.
Suburban revitalisation and growth,Strong Communities,"Department of Jobs, Precincts and Regions",Local Government and Suburban Development,$20 million*,Darebin (C),Point,-37.71625,145.006604,Funding is provided to continue the suburban revitalisation projects at Broadmeadows and Frankston and to commence infrastructure delivery for planned revitalisation sites.
Suburban revitalisation and growth,Strong Communities,"Department of Jobs, Precincts and Regions",Local Government and Suburban Development,$20 million*,Wyndham (C),Point,-37.837267,144.690631,Funding is provided to continue the suburban revitalisation projects at Broadmeadows and Frankston and to commence infrastructure delivery for planned revitalisation sites.
Suburban revitalisation and growth,Strong Communities,"Department of Jobs, Precincts and Regions",Local Government and Suburban Development,$20 million*,Hume (C),Point,-37.678054,144.922189,Funding is provided to continue the suburban revitalisation projects at Broadmeadows and Frankston and to commence infrastructure delivery for planned revitalisation sites.
Suburban revitalisation and growth,Strong Communities,"Department of Jobs, Precincts and Regions",Local Government and Suburban Development,$20 million*,Frankston (C),Point,-38.146631,145.135721,Funding is provided to continue the suburban revitalisation projects at Broadmeadows and Frankston and to commence infrastructure delivery for planned revitalisation sites.
Sunshine Law Courts Redevelopment,Justice,Court Services Victoria,Courts,$25 million,Brimbank (C),Point,-37.778601,144.830919,Funding is provided to continue the suburban revitalisation projects at Broadmeadows and Frankston and to commence infrastructure delivery for planned revitalisation sites.
Supporting ambulance services,Emergency Services,Department of Health and Human Services,Ambulance Services,$136 million*,Nillumbik (S),Point,-37.669696,145.172353,Funding is provided to continue the suburban revitalisation projects at Broadmeadows and Frankston and to commence infrastructure delivery for planned revitalisation sites.
Supporting ambulance services,Emergency Services,Department of Health and Human Services,Ambulance Services,$136 million*,Strathbogie (S),Point,-36.787258,145.154482,Funding is provided to upgrade and expand the Sunshine Law Courts by two new court rooms to meet the demand for additional services in Melbourne’s west.
Supporting Portland's economic diversification ,Regional Investment,"Department of Jobs, Precincts and Regions",Regional Development,$5.9 million,Glenelg (S),Point,-38.300382,141.617595,Funding is provided to support increased demand for ambulance services and continue the Mobile Stroke Unit and Victorian Stroke Telemedicine initiatives.
Ten new community hospitals to give patients the best care,Health,Department of Health and Human Services,Acute Health Services,$66 million*,Casey (C),Point,-38.106024,145.277293,Funding is provided to support increased demand for ambulance services and continue the Mobile Stroke Unit and Victorian Stroke Telemedicine initiatives.
Ten new community hospitals to give patients the best care,Health,Department of Health and Human Services,Acute Health Services,$66 million*,Cardinia (S),Point,-38.07374,145.485393,Funding is provided to facilitate and invest in local business growth opportunities in Portland’s key industries.
Ten new community hospitals to give patients the best care,Health,Department of Health and Human Services,Acute Health Services,$66 million*,Surf Coast (S),Point,-38.33361,144.316562,"Funding is provided to acquire land in Cranbourne, Pakenham, Torquay, City of Whittlesea, Eltham, Inner South and Point Cook and continue capital planning and design for the community hospitals program."
Ten new community hospitals to give patients the best care,Health,Department of Health and Human Services,Acute Health Services,$66 million*,Whittlesea (C),Point,-37.513538,145.114592,"Funding is provided to acquire land in Cranbourne, Pakenham, Torquay, City of Whittlesea, Eltham, Inner South and Point Cook and continue capital planning and design for the community hospitals program."
Ten new community hospitals to give patients the best care,Health,Department of Health and Human Services,Acute Health Services,$66 million*,Nillumbik (S),Point,-37.714911,145.157972,"Funding is provided to acquire land in Cranbourne, Pakenham, Torquay, City of Whittlesea, Eltham, Inner South and Point Cook and continue capital planning and design for the community hospitals program."
Ten new community hospitals to give patients the best care,Health,Department of Health and Human Services,Acute Health Services,$66 million*,Melbourne (C),Point,-37.827188,144.902582,"Funding is provided to acquire land in Cranbourne, Pakenham, Torquay, City of Whittlesea, Eltham, Inner South and Point Cook and continue capital planning and design for the community hospitals program."
Ten new community hospitals to give patients the best care,Health,Department of Health and Human Services,Acute Health Services,$66 million*,Wyndham (C),Point,-37.917757,144.745468,"Funding is provided to acquire land in Cranbourne, Pakenham, Torquay, City of Whittlesea, Eltham, Inner South and Point Cook and continue capital planning and design for the community hospitals program."
Ten new community hospitals to give patients the best care,Health,Department of Health and Human Services,Acute Health Services,$66 million*,Hume (C),Point,-37.594158,144.933359,"Funding is provided to acquire land in Cranbourne, Pakenham, Torquay, City of Whittlesea, Eltham, Inner South and Point Cook and continue capital planning and design for the community hospitals program."
Ten new community hospitals to give patients the best care,Health,Department of Health and Human Services,Acute Health Services,$66 million*,Hume (C),Point,-37.58137,144.713653,"Funding is provided to acquire land in Cranbourne, Pakenham, Torquay, City of Whittlesea, Eltham, Inner South and Point Cook and continue capital planning and design for the community hospitals program."
Very Special Kids,Health,Department of Health and Human Services,Acute Health Services,$7.5 million,Stonnington (C),Point,-37.854842,145.028673,"Funding is provided to acquire land in Cranbourne, Pakenham, Torquay, City of Whittlesea, Eltham, Inner South and Point Cook and continue capital planning and design for the community hospitals program."
Victoria’s Digital Future Now,Digital Future,"Department of Jobs, Precincts and Regions","Industry, Innovation, Medical Research and Small Business",$12 million,Yarra (C),Point,-37.830043,144.993069,"Funding is provided to acquire land in Cranbourne, Pakenham, Torquay, City of Whittlesea, Eltham, Inner South and Point Cook and continue capital planning and design for the community hospitals program."
Victorian Melanoma and Clinical Trials Centre,Health,"Department of Jobs, Precincts and Regions","Industry, Innovation, Medical Research and Small Business",$25 million,Melbourne (C),Point,-37.84628,144.984516,Funding is provided to assist Very Special Kids to build a new world-class eight-bed paediatric respite facility in Malvern.
Victorian State Emergency Services: Head Office upgrades,Emergency Services,Department of Justice and Community Safety,Emergency Management Capability,$2.4 million,Melbourne (C),Point,-37.825679,144.966032,A new flagship digital and innovation hub will be established in Cremorne to accelerate the development of one of Australia’s leading urban technology precincts. 
Visitor Economy: Regional Tourism Infrastructure,Regional Investment,"Department of Jobs, Precincts and Regions",Tourism and Major Events,$121 million*,Northern Grampians (S),Point,-37.174823,142.505159,"Funding is provided to assist in the co-location of the Victorian Melanoma Service, Alfred Cancer Services and the Australian Clinical Trials Centre next to the Alfred Hospital in Prahran."
Visitor Economy: Regional Tourism Infrastructure,Regional Investment,"Department of Jobs, Precincts and Regions",Tourism and Major Events,$121 million*,Alpine (S),Point,-36.88763235,147.1768767,Funding is provided for urgent works at the Victorian State Emergency Services Head Office in Southbank.
Visitor Economy: Regional Tourism Infrastructure,Regional Investment,"Department of Jobs, Precincts and Regions",Tourism and Major Events,$121 million*,South Gippsland (S),Point,-39.115628,146.38683,Funding is provided for a range of regional tourism infrastructure projects to support jobs and local communities.
Visitor Economy: Regional Tourism Infrastructure,Regional Investment,"Department of Jobs, Precincts and Regions",Tourism and Major Events,$121 million*,Wodonga (C),Point,-36.10721,147.028184,Funding is provided for a range of regional tourism infrastructure projects to support jobs and local communities.
Visitor Economy: Regional Tourism Infrastructure,Regional Investment,"Department of Jobs, Precincts and Regions",Tourism and Major Events,$121 million*,Northern Grampians (S),Point,-37.157212,142.529201,Funding is provided for a range of regional tourism infrastructure projects to support jobs and local communities.
Visitor Economy: Regional Tourism Infrastructure,Regional Investment,"Department of Jobs, Precincts and Regions",Tourism and Major Events,$121 million*,Ballarat (C),Point,-37.561069,143.858134,Funding is provided for a range of regional tourism infrastructure projects to support jobs and local communities.
Visitor Economy: Regional Tourism Infrastructure,Regional Investment,"Department of Jobs, Precincts and Regions",Tourism and Major Events,$121 million*,Wangaratta (RC),Point,-36.766581,146.414166,Funding is provided for a range of regional tourism infrastructure projects to support jobs and local communities.
Visitor Economy: Regional Tourism Infrastructure,Regional Investment,"Department of Jobs, Precincts and Regions",Tourism and Major Events,$121 million*,Yarriambiack (S),Point,-35.608843,142.578483,Funding is provided for a range of regional tourism infrastructure projects to support jobs and local communities.
Warrnambool Base Hospital redevelopment (including Warrnambool Logistics Hub),Health,Department of Health and Human Services,Acute Health Services,$384 million,Warrnambool (C),Point,-38.379825,142.473427,Funding is provided for a range of regional tourism infrastructure projects to support jobs and local communities.
Warrnambool Rail Line Upgrade Stage 2,Public Transport,Department of Transport,Train Services,$260 million*,Moyne (S),LGA,,,Funding is provided for a range of regional tourism infrastructure projects to support jobs and local communities.
Warrnambool Rail Line Upgrade Stage 2,Public Transport,Department of Transport,Train Services,$260 million*,Colac Otway (S),LGA,,,"Funding is provided to commence the first stage of redeveloping the Warrnambool Base Hospital that includes enhancing the capacity of the emergency department, operating theatres and acute inpatient beds. "
Warrnambool Rail Line Upgrade Stage 2,Public Transport,Department of Transport,Train Services,$260 million*,Corangamite (S),LGA,,,Funding is provided for Stage 2 of the Warrnambool Rail Line Upgrade to deliver the infrastructure upgrades required to operate modern VLocity trains to and from Warrnambool for the first time. 
Warrnambool Rail Line Upgrade Stage 2,Public Transport,Department of Transport,Train Services,$260 million*,Surf Coast (S),LGA,,,Funding is provided for Stage 2 of the Warrnambool Rail Line Upgrade to deliver the infrastructure upgrades required to operate modern VLocity trains to and from Warrnambool for the first time. 
Warrnambool Rail Line Upgrade Stage 2,Public Transport,Department of Transport,Train Services,$260 million*,Warrnambool (C),LGA,,,Funding is provided for Stage 2 of the Warrnambool Rail Line Upgrade to deliver the infrastructure upgrades required to operate modern VLocity trains to and from Warrnambool for the first time. 
Waurn Ponds Track Duplication Stage 2,Public Transport,Department of Transport,Train Services,$899 million,Greater Geelong (C),Point,-38.196455,144.356295,Funding is provided for Stage 2 of the Warrnambool Rail Line Upgrade to deliver the infrastructure upgrades required to operate modern VLocity trains to and from Warrnambool for the first time. 
Whitten Oval Master Plan Stage 2,Sports and Recreation,"Department of Jobs, Precincts and Regions","Sport, Community Sport, Recreation and Racing",$37 million,Maribyrnong (C),Point,-37.800139,144.886948,Funding is provided for Stage 2 of the Warrnambool Rail Line Upgrade to deliver the infrastructure upgrades required to operate modern VLocity trains to and from Warrnambool for the first time. 
Women’s and Children’s Hospital: University Hospital Geelong,Health,Department of Health and Human Services,Acute Health Services,$3.6 million,Greater Geelong (C),Point,-38.152092,144.36532,The South Geelong to Waurn Ponds Duplication will enable more services and improved reliability on the Geelong Line.
World-class care for Wangaratta patients,Health,Department of Health and Human Services,Acute Health Services,$7.6 million,Wangaratta (RC),Point,-36.367934,146.317033,Funding is provided for the second stage of the Whitten Oval Master Plan to support the expansion of the Western Bulldogs Football Club’s community programs and provide a hub of recreation and community facilities.
Yellingbo Conservation Area ,Environment and Parkland,"Department of Environment, Land, Water and Planning",Management of Public Land and Forests,$7.8 million,Yarra Ranges (S),Point,-37.830542,145.48222,Funding is provided to plan and design a new Women’s and Children’s Hospital offering more maternity and paediatric services to meet the growing service demand in the Barwon region.
Zoos Victoria Kids Free policy,Environment and Parkland,"Department of Environment, Land, Water and Planning",Management of Public Land and Forests,$9.2 million*,Melbourne (C),Point,-37.784118,144.951579,"Funding is provided to refurbish and expand maternity accommodation and investment in critical infrastructure including essential clinical systems, generator and electrical upgrades."
Zoos Victoria Kids Free policy,Environment and Parkland,"Department of Environment, Land, Water and Planning",Management of Public Land and Forests,$9.2 million*,Yarra Ranges (S),Point,-37.681662,145.529869,Funding is provided to continue implementation of the Yellingbo Conservation Area and ensure recommendations made by the Victorian Environmental Assessment Council are delivered.
